job_id,recruiter_id,company_id,company_name,job_title,category,industry,employment_type,experience_level,work_mode,city,state,country,experience_min_years,experience_max_years,salary_min,salary_max,salary_period,currency,salary_min_lpa,salary_max_lpa,skills_required,education,openings,benefits,job_description,posted_date,application_deadline,status,applicants_count,views_count,featured
JOB00001,REC0120,CMP048,StreamVista India Pvt Ltd,Senior Telecom RF Engineer,Engineering,Media & Telecom,Full-time,Senior,Hybrid,Bengaluru,Karnataka,India,6,9,1650000,2300000,Per Year,INR,16.5,23.0,RF Planning|5G|LTE|Drive Tests|Optimization,MCA,20,Paid Time Off|Relocation Assistance|Meal Coupons|Referral Bonus,"StreamVista India Pvt Ltd is hiring a Senior Telecom RF Engineer for its Bengaluru team (hybrid). As a leading player in Media & Telecom, we are looking for a motivated professional; 6-9 years of relevant experience. Key responsibilities: (1) Collaborate with cross-functional teams to deliver high-quality outcomes on schedule. (2) Own deliverables end-to-end and communicate progress to stakeholders. (3) Contribute to documentation, code/process reviews and knowledge sharing. (4) Apply LTE best practices and continuously improve existing processes. Requirements: hands-on knowledge of RF Planning, 5G, LTE, Drive Tests. Team player with ownership mindset.",2026-09-06,2026-11-24,Active,29,290,False
JOB00002,REC0045,CMP018,CoinBridge India Pvt Ltd,Senior Financial Analyst,Finance,Fintech & Banking,Contract,Senior,Hybrid,Bengaluru,Karnataka,India,6,8,1100000,1350000,Per Year,INR,11.0,13.5,Financial Modeling|Excel|Forecasting|Power BI|Accounting,B.Sc,20,Health Insurance|Flexible Hours|Referral Bonus,"CoinBridge India Pvt Ltd is hiring a Senior Financial Analyst for its Bengaluru team (hybrid). As a leading player in Fintech & Banking, we are looking for a motivated professional; 6-8 years of relevant experience. Key responsibilities: (1) Collaborate with cross-functional teams to deliver high-quality outcomes on schedule. (2) Own deliverables end-to-end and communicate progress to stakeholders. (3) Apply Forecasting best practices and continuously improve existing processes. (4) Design, build and maintain solutions related to Financial Modeling and Excel. Requirements: hands-on knowledge of Financial Modeling, Excel, Forecasting, Power BI. Team player with ownership mindset.",2026-08-30,2026-10-04,Active,76,988,False
JOB00003,REC0061,CMP025,TrendNest India Pvt Ltd,Full Stack Developer,Engineering,E-commerce & Retail,Full-time,Mid-Level,Hybrid,Noida,Uttar Pradesh,India,3,7,1100000,1500000,Per Year,INR,11.0,15.0,React|Node.js|MongoDB|AWS|Redis,B.E/B.Tech,1,Learning & Development Budget|Work From Home Allowance|Flexible Hours|Annual Retreat,"TrendNest India Pvt Ltd is hiring a Full Stack Developer for its Noida team (hybrid). As a leading player in E-commerce & Retail, we are looking for a motivated professional; 3-7 years of relevant experience. Key responsibilities: (1) Collaborate with cross-functional teams to deliver high-quality outcomes on schedule. (2) Own deliverables end-to-end and communicate progress to stakeholders. (3) Design, build and maintain solutions related to React and Node.js. (4) Contribute to documentation, code/process reviews and knowledge sharing. Requirements: hands-on knowledge of React, Node.js, MongoDB, AWS. Good analytical and problem-solving abilities.",2026-08-09,2026-09-22,Active,373,4476,False
JOB00004,REC0049,CMP020,Wealthora Technologies Pvt Ltd,Relationship Manager,Sales,Fintech & Banking,Full-time,Mid-Level,On-site,Bengaluru,Karnataka,India,3,5,750000,950000,Per Year,INR,7.5,9.5,Banking Products|Client Relations|Cross-selling|KYC|Communication,B.E/B.Tech,3,Paid Time Off|Health Insurance|Stock Options (ESOPs),"Wealthora Technologies Pvt Ltd is hiring a Relationship Manager for its Bengaluru team (on-site). As a leading player in Fintech & Banking, we are looking for a motivated professional; 3-5 years of relevant experience. Key responsibilities: (1) Design, build and maintain solutions related to Banking Products and Client Relations. (2) Contribute to documentation, code/process reviews and knowledge sharing. (3) Apply Cross-selling best practices and continuously improve existing processes. (4) Own deliverables end-to-end and communicate progress to stakeholders. Requirements: hands-on knowledge of Banking Products, Client Relations, Cross-selling, KYC. Strong communication skills.",2026-08-31,2026-10-31,Active,136,1632,False
JOB00005,REC0033,CMP013,Finova Solutions Pvt Ltd,Fraud Detection Analyst,Security,Fintech & Banking,Contract,Mid-Level,Hybrid,Bengaluru,Karnataka,India,3,6,1400000,2050000,Per Year,INR,14.0,20.5,Fraud Analytics|SQL|Python|Rules Engines|Investigation,B.E/B.Tech,2,Flexible Hours|Learning & Development Budget|Work From Home Allowance,"Finova Solutions Pvt Ltd is hiring a Fraud Detection Analyst for its Bengaluru team (hybrid). As a leading player in Fintech & Banking, we are looking for a motivated professional; 3-6 years of relevant experience. Key responsibilities: (1) Own deliverables end-to-end and communicate progress to stakeholders. (2) Design, build and maintain solutions related to Fraud Analytics and SQL. (3) Apply Python best practices and continuously improve existing processes. (4) Contribute to documentation, code/process reviews and knowledge sharing. Requirements: hands-on knowledge of Fraud Analytics, SQL, Python, Rules Engines. Ability to work in a fast-paced environment.",2026-08-18,2026-10-14,Active,136,1768,False
JOB00006,REC0071,CMP029,Vitalis Pharma India Pvt Ltd,Healthcare Data Analyst,Data & Analytics,Healthcare & Pharma,Full-time,Mid-Level,Remote,Mumbai,Maharashtra,India,3,7,1300000,1750000,Per Year,INR,13.0,17.5,SQL|Python|Healthcare Analytics|Tableau|EMR Systems,B.E/B.Tech,5,Performance Bonus|Referral Bonus|Annual Retreat|Relocation Assistance|Paid Time Off,"Vitalis Pharma India Pvt Ltd is hiring a Healthcare Data Analyst for its Mumbai team (remote). As a leading player in Healthcare & Pharma, we are looking for a motivated professional; 3-7 years of relevant experience. Key responsibilities: (1) Apply Healthcare Analytics best practices and continuously improve existing processes. (2) Contribute to documentation, code/process reviews and knowledge sharing. (3) Collaborate with cross-functional teams to deliver high-quality outcomes on schedule. (4) Design, build and maintain solutions related to SQL and Python. Requirements: hands-on knowledge of SQL, Python, Healthcare Analytics, Tableau. Team player with ownership mindset.",2026-08-29,2026-10-25,Active,172,2580,False
JOB00007,REC0020,CMP008,Quantum Leap Solutions Pvt Ltd,Senior Software Engineer,Engineering,Information Technology,Full-time,Mid-Level,Hybrid,Indore,Madhya Pradesh,India,3,7,1150000,1400000,Per Year,INR,11.5,14.0,Java|Microservices|AWS|Kafka|System Design,MCA,8,Stock Options (ESOPs)|Referral Bonus|Meal Coupons|Health Insurance|Annual Retreat|Relocation Assistance,"Quantum Leap Solutions Pvt Ltd is hiring a Senior Software Engineer for its Indore team (hybrid). As a leading player in Information Technology, we are looking for a motivated professional; 3-7 years of relevant experience. Key responsibilities: (1) Own deliverables end-to-end and communicate progress to stakeholders. (2) Collaborate with cross-functional teams to deliver high-quality outcomes on schedule. (3) Contribute to documentation, code/process reviews and knowledge sharing. (4) Design, build and maintain solutions related to Java and Microservices. Requirements: hands-on knowledge of Java, Microservices, AWS, Kafka. Team player with ownership mindset.",2026-08-12,2026-09-16,Closed,150,1500,False
JOB00008,REC0084,CMP034,Eduverse Ltd,Senior Frontend Developer,Engineering,Education & EdTech,Full-time,Senior,Hybrid,Chennai,Tamil Nadu,India,6,8,1500000,2100000,Per Year,INR,15.0,21.0,React|TypeScript|Redux|CSS3|Jest,MCA,2,Referral Bonus|Annual Retreat|Paid Time Off,"Eduverse Ltd is hiring a Senior Frontend Developer for its Chennai team (hybrid). As a leading player in Education & EdTech, we are looking for a motivated professional; 6-8 years of relevant experience. Key responsibilities: (1) Own deliverables end-to-end and communicate progress to stakeholders. (2) Collaborate with cross-functional teams to deliver high-quality outcomes on schedule. (3) Design, build and maintain solutions related to React and TypeScript. (4) Apply Redux best practices and continuously improve existing processes. Requirements: hands-on knowledge of React, TypeScript, Redux, CSS3. Team player with ownership mindset.",2026-08-13,2026-10-22,Active,108,864,False
JOB00009,REC0045,CMP018,CoinBridge India Pvt Ltd,Junior Product Analyst,Product,Fintech & Banking,Full-time,Junior,Remote,Remote (India),Pan-India,India,1,3,1300000,1600000,Per Year,INR,13.0,16.0,SQL|A/B Testing|Mixpanel|Excel|Product Metrics,B.Com,20,Annual Retreat|Gym Membership|Health Insurance|Paid Time Off,"CoinBridge India Pvt Ltd is hiring a Junior Product Analyst for its Remote (India) team (remote). As a leading player in Fintech & Banking, we are looking for a motivated professional; 1-3 years of relevant experience. Key responsibilities: (1) Design, build and maintain solutions related to SQL and A/B Testing. (2) Contribute to documentation, code/process reviews and knowledge sharing. (3) Own deliverables end-to-end and communicate progress to stakeholders. (4) Collaborate with cross-functional teams to deliver high-quality outcomes on schedule. Requirements: hands-on knowledge of SQL, A/B Testing, Mixpanel, Excel. Good analytical and problem-solving abilities.",2026-08-30,2026-11-12,Active,89,801,False
JOB00010,REC0041,CMP016,Lumina Bank Solutions Pvt Ltd,Senior Product Analyst,Product,Fintech & Banking,Full-time,Senior,Hybrid,Gurugram,Haryana,India,6,9,2850000,3850000,Per Year,INR,28.5,38.5,SQL|A/B Testing|Mixpanel|Excel|Product Metrics,MBA,1,Stock Options (ESOPs)|Relocation Assistance|Performance Bonus|Referral Bonus|Meal Coupons|Flexible Hours,"Lumina Bank Solutions Pvt Ltd is hiring a Senior Product Analyst for its Gurugram team (hybrid). As a leading player in Fintech & Banking, we are looking for a motivated professional; 6-9 years of relevant experience. Key responsibilities: (1) Contribute to documentation, code/process reviews and knowledge sharing. (2) Apply Mixpanel best practices and continuously improve existing processes. (3) Own deliverables end-to-end and communicate progress to stakeholders. (4) Collaborate with cross-functional teams to deliver high-quality outcomes on schedule. Requirements: hands-on knowledge of SQL, A/B Testing, Mixpanel, Excel. Willingness to learn new technologies.",2026-08-25,2026-09-29,Active,32,256,False
JOB00011,REC0011,CMP005,Codeloom Ltd,Senior Cloud Engineer,DevOps & Cloud,Information Technology,Full-time,Senior,On-site,Pune,Maharashtra,India,6,8,1750000,2400000,Per Year,INR,17.5,24.0,AWS|Azure|Terraform|Linux|Networking,MCA,2,Health Insurance|Learning & Development Budget|Gym Membership|Flexible Hours,"Codeloom Ltd is hiring a Senior Cloud Engineer for its Pune team (on-site). As a leading player in Information Technology, we are looking for a motivated professional; 6-8 years of relevant experience. Key responsibilities: (1) Collaborate with cross-functional teams to deliver high-quality outcomes on schedule. (2) Design, build and maintain solutions related to AWS and Azure. (3) Apply Terraform best practices and continuously improve existing processes. (4) Contribute to documentation, code/process reviews and knowledge sharing. Requirements: hands-on knowledge of AWS, Azure, Terraform, Linux. Strong communication skills.",2026-09-06,2026-10-02,Active,54,324,False
JOB00012,REC0106,CMP043,Stratos Consulting Pvt Ltd,Junior Project Manager,Project Management,Consulting & Services,Full-time,Junior,On-site,Hyderabad,Telangana,India,1,3,950000,1350000,Per Year,INR,9.5,13.5,PMP|Agile|MS Project|Risk Management|Stakeholder Management,MBA,8,Meal Coupons|Stock Options (ESOPs)|Work From Home Allowance,"Stratos Consulting Pvt Ltd is hiring a Junior Project Manager for its Hyderabad team (on-site). As a leading player in Consulting & Services, we are looking for a motivated professional; 1-3 years of relevant experience. Key responsibilities: (1) Collaborate with cross-functional teams to deliver high-quality outcomes on schedule. (2) Apply MS Project best practices and continuously improve existing processes. (3) Design, build and maintain solutions related to PMP and Agile. (4) Own deliverables end-to-end and communicate progress to stakeholders. Requirements: hands-on knowledge of PMP, Agile, MS Project, Risk Management. Willingness to learn new technologies.",2026-08-20,2026-10-22,Active,213,2343,True
JOB00013,REC0066,CMP027,MediCore Ltd,Senior Healthcare Data Analyst,Data & Analytics,Healthcare & Pharma,Full-time,Senior,Hybrid,Bengaluru,Karnataka,India,6,10,1750000,2150000,Per Year,INR,17.5,21.5,SQL|Python|Healthcare Analytics|Tableau|EMR Systems,MCA,2,Meal Coupons|Stock Options (ESOPs)|Flexible Hours,"MediCore Ltd is hiring a Senior Healthcare Data Analyst for its Bengaluru team (hybrid). As a leading player in Healthcare & Pharma, we are looking for a motivated professional; 6-10 years of relevant experience. Key responsibilities: (1) Contribute to documentation, code/process reviews and knowledge sharing. (2) Collaborate with cross-functional teams to deliver high-quality outcomes on schedule. (3) Own deliverables end-to-end and communicate progress to stakeholders. (4) Apply Healthcare Analytics best practices and continuously improve existing processes. Requirements: hands-on knowledge of SQL, Python, Healthcare Analytics, Tableau. Ability to work in a fast-paced environment.",2026-08-04,2026-08-30,Closed,96,1248,False
JOB00014,REC0062,CMP025,TrendNest India Pvt Ltd,Senior Supply Chain Analyst,Operations,E-commerce & Retail,Full-time,Senior,On-site,Noida,Uttar Pradesh,India,6,10,1100000,1450000,Per Year,INR,11.0,14.5,Logistics|SAP|Excel|Inventory Planning|Forecasting,B.Sc,10,Health Insurance|Referral Bonus|Work From Home Allowance|Learning & Development Budget|Stock Options (ESOPs),"TrendNest India Pvt Ltd is hiring a Senior Supply Chain Analyst for its Noida team (on-site). As a leading player in E-commerce & Retail, we are looking for a motivated professional; 6-10 years of relevant experience. Key responsibilities: (1) Own deliverables end-to-end and communicate progress to stakeholders. (2) Contribute to documentation, code/process reviews and knowledge sharing. (3) Collaborate with cross-functional teams to deliver high-quality outcomes on schedule. (4) Apply Excel best practices and continuously improve existing processes. Requirements: hands-on knowledge of Logistics, SAP, Excel, Inventory Planning. Team player with ownership mindset.",2026-09-18,2026-11-02,Active,4,48,False
JOB00015,REC0093,CMP038,AutoDrive Motors Pvt Ltd,Junior Quality Engineer,Quality Assurance,Manufacturing & Automotive,Full-time,Junior,On-site,Pune,Maharashtra,India,1,4,600000,850000,Per Year,INR,6.0,8.5,ISO 9001|SPC|Root Cause Analysis|Audits|FMEA,MBA,1,Stock Options (ESOPs)|Referral Bonus|Learning & Development Budget,"AutoDrive Motors Pvt Ltd is hiring a Junior Quality Engineer for its Pune team (on-site). As a leading player in Manufacturing & Automotive, we are looking for a motivated professional; 1-4 years of relevant experience. Key responsibilities: (1) Design, build and maintain solutions related to ISO 9001 and SPC. (2) Collaborate with cross-functional teams to deliver high-quality outcomes on schedule. (3) Contribute to documentation, code/process reviews and knowledge sharing. (4) Own deliverables end-to-end and communicate progress to stakeholders. Requirements: hands-on knowledge of ISO 9001, SPC, Root Cause Analysis, Audits. Ability to work in a fast-paced environment.",2026-08-24,2026-09-23,Active,150,1950,False
JOB00016,REC0006,CMP003,Cloudnine Labs Pvt Ltd,Machine Learning Engineer,Data & Analytics,Information Technology,Contract,Mid-Level,Hybrid,Bengaluru,Karnataka,India,3,6,1350000,1650000,Per Year,INR,13.5,16.5,PyTorch|MLOps|Python|Docker|Scikit-learn,B.E/B.Tech,20,Health Insurance|Flexible Hours|Performance Bonus|Work From Home Allowance|Stock Options (ESOPs)|Referral Bonus,"Cloudnine Labs Pvt Ltd is hiring a Machine Learning Engineer for its Bengaluru team (hybrid). As a leading player in Information Technology, we are looking for a motivated professional; 3-6 years of relevant experience. Key responsibilities: (1) Collaborate with cross-functional teams to deliver high-quality outcomes on schedule. (2) Contribute to documentation, code/process reviews and knowledge sharing. (3) Apply Python best practices and continuously improve existing processes. (4) Design, build and maintain solutions related to PyTorch and MLOps. Requirements: hands-on knowledge of PyTorch, MLOps, Python, Docker. Good analytical and problem-solving abilities.",2026-08-19,2026-11-03,Active,276,3036,False
JOB00017,REC0096,CMP039,SteelCraft Industries Pvt Ltd,Junior Supply Chain Executive,Operations,Manufacturing & Automotive,Full-time,Junior,On-site,Chennai,Tamil Nadu,India,1,4,450000,700000,Per Year,INR,4.5,7.0,SAP MM|Procurement|Vendor Development|Excel|Logistics,MBA,10,Meal Coupons|Learning & Development Budget|Gym Membership|Work From Home Allowance,"SteelCraft Industries Pvt Ltd is hiring a Junior Supply Chain Executive for its Chennai team (on-site). As a leading player in Manufacturing & Automotive, we are looking for a motivated professional; 1-4 years of relevant experience. Key responsibilities: (1) Apply Vendor Development best practices and continuously improve existing processes. (2) Own deliverables end-to-end and communicate progress to stakeholders. (3) Contribute to documentation, code/process reviews and knowledge sharing. (4) Collaborate with cross-functional teams to deliver high-quality outcomes on schedule. Requirements: hands-on knowledge of SAP MM, Procurement, Vendor Development, Excel. Ability to work in a fast-paced environment.",2026-08-18,2026-10-06,Active,114,1482,False
JOB00018,REC0105,CMP042,Mechano Systems Technologies Pvt Ltd,Lead EV Battery Engineer,Engineering,Manufacturing & Automotive,Full-time,Lead,Remote,Chennai,Tamil Nadu,India,9,13,2000000,2850000,Per Year,INR,20.0,28.5,Battery Systems|BMS|MATLAB|Thermal Management|Testing,B.E/B.Tech,2,Gym Membership|Health Insurance|Stock Options (ESOPs)|Relocation Assistance,"Mechano Systems Technologies Pvt Ltd is hiring a Lead EV Battery Engineer for its Chennai team (remote). As a leading player in Manufacturing & Automotive, we are looking for a motivated professional; 9-13 years of relevant experience. Key responsibilities: (1) Own deliverables end-to-end and communicate progress to stakeholders. (2) Design, build and maintain solutions related to Battery Systems and BMS. (3) Collaborate with cross-functional teams to deliver high-quality outcomes on schedule. (4) Apply MATLAB best practices and continuously improve existing processes. Requirements: hands-on knowledge of Battery Systems, BMS, MATLAB, Thermal Management. Willingness to learn new technologies.",2026-08-01,2026-09-18,Closed,122,854,True
JOB00019,REC0050,CMP021,ShopSphere India Pvt Ltd,Senior Warehouse Operations Manager,Operations,E-commerce & Retail,Full-time,Senior,Hybrid,Mumbai,Maharashtra,India,6,9,1100000,1350000,Per Year,INR,11.0,13.5,WMS|Team Management|Inventory Control|Safety Compliance|Lean,B.Com,8,Performance Bonus|Relocation Assistance|Flexible Hours,"ShopSphere India Pvt Ltd is hiring a Senior Warehouse Operations Manager for its Mumbai team (hybrid). As a leading player in E-commerce & Retail, we are looking for a motivated professional; 6-9 years of relevant experience. Key responsibilities: (1) Contribute to documentation, code/process reviews and knowledge sharing. (2) Own deliverables end-to-end and communicate progress to stakeholders. (3) Design, build and maintain solutions related to WMS and Team Management. (4) Collaborate with cross-functional teams to deliver high-quality outcomes on schedule. Requirements: hands-on knowledge of WMS, Team Management, Inventory Control, Safety Compliance. Ability to work in a fast-paced environment.",2026-08-08,2026-10-05,Active,156,1716,False
JOB00020,REC0067,CMP027,MediCore Ltd,Senior Pharmacovigilance Associate,Clinical,Healthcare & Pharma,Full-time,Senior,Hybrid,Bengaluru,Karnataka,India,6,8,1150000,1450000,Per Year,INR,11.5,14.5,Drug Safety|Argus|Case Processing|MedDRA|Reporting,BBA,20,Meal Coupons|Health Insurance|Referral Bonus|Performance Bonus|Annual Retreat,"MediCore Ltd is hiring a Senior Pharmacovigilance Associate for its Bengaluru team (hybrid). As a leading player in Healthcare & Pharma, we are looking for a motivated professional; 6-8 years of relevant experience. Key responsibilities: (1) Collaborate with cross-functional teams to deliver high-quality outcomes on schedule. (2) Design, build and maintain solutions related to Drug Safety and Argus. (3) Own deliverables end-to-end and communicate progress to stakeholders. (4) Apply Case Processing best practices and continuously improve existing processes. Requirements: hands-on knowledge of Drug Safety, Argus, Case Processing, MedDRA. Willingness to learn new technologies.",2026-08-19,2026-10-24,Active,42,504,False
JOB00021,REC0005,CMP002,Bytecraft Pvt Ltd,Technical Support Engineer,Support,Information Technology,Full-time,Mid-Level,Hybrid,Mumbai,Maharashtra,India,3,6,600000,750000,Per Year,INR,6.0,7.5,Troubleshooting|Linux|SQL|Customer Communication|Ticketing Tools,B.Sc,2,Annual Retreat|Stock Options (ESOPs)|Referral Bonus|Paid Time Off|Flexible Hours,"Bytecraft Pvt Ltd is hiring a Technical Support Engineer for its Mumbai team (hybrid). As a leading player in Information Technology, we are looking for a motivated professional; 3-6 years of relevant experience. Key responsibilities: (1) Contribute to documentation, code/process reviews and knowledge sharing. (2) Own deliverables end-to-end and communicate progress to stakeholders. (3) Collaborate with cross-functional teams to deliver high-quality outcomes on schedule. (4) Design, build and maintain solutions related to Troubleshooting and Linux. Requirements: hands-on knowledge of Troubleshooting, Linux, SQL, Customer Communication. Good analytical and problem-solving abilities.",2026-09-10,2026-11-02,Active,30,210,False
JOB00022,REC0033,CMP013,Finova Solutions Pvt Ltd,Associate Risk Analyst,Finance,Fintech & Banking,Contract,Fresher,Remote,Gurugram,Haryana,India,0,1,400000,550000,Per Year,INR,4.0,5.5,Credit Risk|SQL|Excel|Python|Basel Norms,MBA,10,Performance Bonus|Paid Time Off|Relocation Assistance,"Finova Solutions Pvt Ltd is hiring a Associate Risk Analyst for its Gurugram team (remote). As a leading player in Fintech & Banking, we are looking for a motivated professional; freshers are welcome to apply. Key responsibilities: (1) Apply Excel best practices and continuously improve existing processes. (2) Contribute to documentation, code/process reviews and knowledge sharing. (3) Design, build and maintain solutions related to Credit Risk and SQL. (4) Collaborate with cross-functional teams to deliver high-quality outcomes on schedule. Requirements: hands-on knowledge of Credit Risk, SQL, Excel, Python. Strong communication skills.",2026-09-10,2026-11-05,Active,83,498,False
